Name,Review,SkuInfo,Date,StarCount
Ananda T.,"Very disappointed, very thin,like paper bad quality. Bought with other seller same price but good quality. NOT recommend anyone to buy",Color Family:Grey,14 Jul 2022,1
Yen Y.,"口罩超级的薄…
之前在sh..pee买还比他好很多…
薄到好像完全没4layer😓",color_family:Black,30 Nov 2022,1
Y***a,Not 4 layers but 1 layer..disppointed,Color Family:Black,28 Jul 2022,1
N***.,"less one pack pink mask bought 6 packs pink mask but only get 5 packs, masks have strong chemical smell , poor quality.",Color Family:Light Brown,01 Aug 2022,1
B***.,"I bought a white mask and he gave it to me in black.

I didn't read the information either.

Keep asking me for photos, photos have been given, and then there is no message back.",Color:White,27 Jan 2022,1
Chuah L.,Buy 170 PCs of KN94 but received only 150pcs. short of 20pcs blue color. Why didn't you check before you pack? Very bad service order on 9/5 but receive on 22/5. It take so long at the logistics warehouse. Never repeat order from this seller,Color Family:Grey,22 May 2022,1
Phoebe L.,"poor service. sent 17packs instead of 20packs. when asked to refund for the 3packs, asked me to return the 17packs to refund for the 17packs (*_*)",Color Family:Grey,13 Apr 2022,1
fariha A.,seller teruk,color_family:Black,28 Aug 2022,1
Junyee O.,I order 5 pack White mask but I received 4 only.  I order total 19 pack I just received 18 pack. Last time I bought also less 1 pack.,color_family:White,09 Dec 2022,1
Tan S.,"The black color mask packaging was very thin and very wrinkled. I bought 5 bags of black color mask, found out 1 bag the plastic bag was rupture and all the inside masks was in wet condition. Really disappointed.",Color Family:Grey,26 Mar 2022,1
A***i,item x dapat,Color Family:Merah jambu,09 Jul 2022,1
P***.,Get coughing every time i wear it. Poor quality,color_family:Grey,07 Nov 2023,1
Shah A.,Seller bagi salah warna mask! pilih hitam dapat putih. dahlah kurier pun buat hal datang lambat.,Color Family:Black,02 Jun 2022,1
elsa P.,"missing the item, cannot refund money!
Now it's not that I don't want a mask, I just ask for a refund for the missing mask.",Color Family:Pink,30 Mar 2022,1
Sudarrshaan C.,,color_family:Black,24 Feb 2023,1
Khoo M.,你的口罩不好…弄伤人了…全部,color_family:Black,30 Aug 2022,1
wong,"packaging is lousy, this should pack nicely as this is for prevention of disease",Color Family:Light Green,19 Jan 2022,1
Chan,Bad,color_family:White,17 Oct 2022,1
